Name	Address	Latitude	Longitude
Austin Animal Center	"7201 Levander Loop Austin, TX 78702"	30.253058	-97.690381
Austin Pets Alive Tarrytown Adoption Center	"3108 Windsor Road Austin, TX 78703"	30.296705	?-97.767639
Austin Pets Alive!	"1156 W Cesar Chavez Austin, TX 78703"	30.27007	?-97.759136
Austin Humane Society	"124 W Anderson Ln Austin, TX 78752"	30.344996	?-97.705204
Gold Ribbon Rescue	"807 Brazos Street Austin,TX"	30.270219	-97.740019
Austin Wildlife Rescue	"5401 E Martin Luther King Blvd Austin, TX 78721"	30.285909	-97.674422
Pflugerville Animal Welfare Services	"1600 Waterbrook Dr, Pflugerville, TX 78660"	30.431035	-97.606806
Taurus Academy	"12419 Metric Blvd, Austin, TX 78758"	30.430077	-97.693492
Servicios Martinez	"15635 Vision Dr, Pflugerville, TX 78660"	30.466067	-97.660826
Lake Austin Blvd Animal Hospital	"2301 Lake Austin Blvd, Austin, TX 78703"	30.283505	-97.771312
PAWS Shelter of Central Texa	"500 E Fm 150, Kyle, TX 78640"	29.983255	-97.87011
Lockhart Animal Shelter	"547 Old McMahan Trail, Lockhart TX 78644"	29.869653	-97.644691
