AnimalID,FoundLocation,Latitude,Longtitude,IntakeDate,Type,LooksLike,Color,Sex,Age,ImageLink
A660953,6502 CLUBWAY LANE AUSTIN 78744,30.204375,-97.798214,4/30/2018,Dog,Miniature Schnauzer/Chihuahua Longhair,White,Neutered Male,5 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A660953
A688950,6115 FELIX AVENUE AUSTIN 78741  ,30.236169,-97.698599,5/1/2018,Dog,Boxer Mix,Tan,Intact Male,6 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A688950
A730105,1520 RUTHERFORD LANE AUSTIN 78754  ,30.336967,-97.682519,5/2/2018,Dog,Pointer/Pit Bull,Tan/White,Neutered Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A730105
A752251,5201 ROSS RD AUSTIN 78617  ,30.178552,-97.614961,5/2/2018,Dog,American Bulldog Mix,White/Brown,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A752251
A756999,2003 BLUE MEADOW DRIVE AUSTIN 78744  ,30.182736,-97.766496,5/6/2018,Dog,Pit Bull Mix,Blue/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A756999
A759588,84 ROBERT T MARTINEZ JR ST AUSTIN 78702,30.254487,-97.721298,5/3/2018,Dog,Labrador Retriever,Tan/White,Spayed Female,8 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A759588
A763956,4404 EAST OLTORF STREET AUSTIN 78741  ,30.226797,-97.726353,5/4/2018,Dog,Pit Bull Mix,White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A763956
A765562,3201 LOCKE LANE AUSTIN 78704  ,30.236158,-97.770208,5/6/2018,Dog,Cairn Terrier Mix,Tan/White,Spayed Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A765562
A771070,6206 FELIX AVENUE AUSTIN 78741  ,30.235713,-97.697631,4/30/2018,Cat,Domestic Shorthair Mix,Calico,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A771070
A771075,AUSTIN 78741  ,30.227985,-97.716971,4/30/2018,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A771075
A771079,2306 EAST 8TH STREEET AUSTIN 78702  ,30.263224,-97.715896,4/30/2018,Dog,Alaskan Malamute Mix,Black/Gray,Intact Male,10 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A771079
A771100,4603 OAK CLIFF DRIVE AUSTIN 78721  ,30.284678,-97.682938,4/30/2018,Cat,Domestic Shorthair Mix,Orange Tabby,Intact Male,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A771100
A771101,4603 OAK CLIFF DRIVE AUSTIN 78721  ,30.284678,-97.682938,4/30/2018,Cat,Domestic Shorthair Mix,Orange Tabby,Intact Male,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A771101
A771102,4603 OAK CLIFF DRIVE AUSTIN 78721  ,30.284678,-97.682938,4/30/2018,Cat,Domestic Shorthair Mix,Tortie,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A771102
A771103,4603 OAK CLIFF DRIVE AUSTIN 78721  ,30.284678,-97.682938,4/30/2018,Cat,Domestic Shorthair Mix,Tortie,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A771103
A771104,4603 OAK CLIFF DRIVE AUSTIN 78721  ,30.284678,-97.682938,4/30/2018,Cat,Domestic Shorthair Mix,Orange Tabby,Intact Male,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A771104
A771106,20700 ED ACKLIN ROAD MANOR 78653  ,30.275945,-97.490496,4/30/2018,Cat,Domestic Medium Hair Mix,Blue Tabby,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A771106
A771112,1300 GREENWOOD STREET AUSTIN 78721  ,30.278413,-97.696312,4/30/2018,Dog,German Shepherd Mix,Tan,Intact Female,9 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A771112
A771119,1201 PAYTON GIN ROAD AUSTIN 78758  ,30.361618,-97.708443,4/30/2018,Dog,Pit Bull Mix,Blue/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A771119
A771120,2717 SWEENEY LANE AUSTIN 78723  ,30.307204,-97.681579,4/30/2018,Dog,Pit Bull Mix,Blue/White,Intact Female,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A771120
A771123,3423 MINNIE STREET AUSTIN 78745  ,30.205652,-97.835205,4/30/2018,Dog,Chihuahua Shorthair Mix,White/Tricolor,Intact Male,7 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A771123
A771153,CARRIE MANOR ROAD MANOR 78653  ,30.345865,-97.531473,5/1/2018,Cat,Domestic Shorthair Mix,Black/White,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A771153
A771154,CARRIE MANOR ROAD MANOR 78653  ,30.345865,-97.531473,5/1/2018,Cat,Domestic Shorthair Mix,White/Black,Intact Male,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A771154
A771155,CARRIE MANOR ROAD MANOR 78653  ,30.345865,-97.531473,5/1/2018,Cat,Domestic Shorthair Mix,White/Brown Tabby,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A771155
A771173,5800 WALNUTHOLLOW COVE AUSTIN 78744  ,30.192279,-97.730929,5/1/2018,Dog,Whippet Mix,Tan/White,Neutered Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A771173
A771178,9307 KEMPLER DRIVE AUSTIN 78748  ,30.179564,-97.821542,5/1/2018,Dog,Chihuahua Shorthair Mix,Fawn,Intact Female,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A771178
A771187,8901 SLAYTON DRIVE AUSTIN 78753  ,30.356371,-97.697448,5/1/2018,Cat,Domestic Shorthair Mix,White/Orange Tabby,Intact Female,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A771187
A771193,AUSTIN 78702  ,30.264271,-97.71608,5/1/2018,Cat,Domestic Shorthair Mix,Black,Unknown,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A771193
A771194,AUSTIN 78702  ,30.264271,-97.71608,5/1/2018,Cat,Domestic Shorthair Mix,Tortie,Unknown,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A771194
A771196,2400 WICKERSHAM AUSTIN 78741  ,30.226853,-97.722164,5/2/2018,Cat,Domestic Shorthair Mix,Blue Tabby,Intact Male,7 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A771196
A771203,5500 STUART COURT AUSTIN 78721  ,30.261469,-97.686264,5/1/2018,Dog,Pointer Mix,White/Tricolor,Neutered Male,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A771203
